EAN,Descricao,Validade,Status,Setor,DataCadastro
7898074613010,FISIOGEN FERRO FORTE 30MG 30CPS,2028-01,ativo,MARCOS,2026-02-21
7898074618091,FISIOGEN FERRO 30CPS,2027-09,ativo,MARCOS,2026-02-21
7899824400775,"FOLIFER 30MG+0,2MG/ML 30ML GOTAS",2027-10,ativo,MARCOS,2026-02-21
7897917000116,SULFERBEL GOTAS 30ML,2027-06,ativo,MARCOS,2026-02-21
7896112144892,FERRONIL 40MG 50CP,2027-02,ativo,MARCOS,2026-02-21
7908134200088,HEMOLIP 30MG 30CPS,2028-05,ativo,MARCOS,2026-02-21
7908950000015,FE-LIP 30MG FERRO E VIT C 30CPS,2027-09,ativo,MARCOS,2026-02-21
7908950000008,FE-LIP 15MG FERRO E VIT C 30CPS,2027-03,ativo,MARCOS,2026-02-21
7898430194757,MYRAFER C 80MG+30MG 30CP,2027-09,ativo,MARCOS,2026-02-21
0631430480393,BEM VITA VITAMINA B12 500MG 60CPS MASTIG MORANGO,2027-11,ativo,MARCOS,2026-02-21
7896094931688,VITAMINA B12 NEO QUIMICA 60CP MASTIG,2027-04,ativo,MARCOS,2026-02-21
7896023703546,VITAMINA B12 CATARINENSE 60CP MASTIG FRUTAS,2027-11,ativo,MARCOS,2026-02-21
7896004772301,COMPLEXO B 100CP EMS,2027-07,ativo,MARCOS,2026-02-21
7896023700316,COMPLEXO B CATARINENSE 60CPS,2027-08,ativo,MARCOS,2026-02-21
7898971521371,CURCUMA LONGA COPAPHARMA 60CPS,2027-09,ativo,MARCOS,2026-02-21
7898714762047,CURCUMA PREMIUM DOSE MAXIMA 130MG 30CPS KATIGUA,2027-09,ativo,MARCOS,2026-02-21
7896094930551,CURC AOX+ 60CP,2026-06,ativo,MARCOS,2026-02-21
7896094927261,CURC 400MG 60CP,2027-05,ativo,MARCOS,2026-02-21
7896083410552,COGNITUS 225MG 60CP,2027-10,ativo,MARCOS,2026-02-21
7892828001306,ORGANONEURO CEREBRAL 100CP,2027-03,ativo,MARCOS,2026-02-21
7892828000620,ORGANONEURO CEREBRAL 25DRG,2027-02,ativo,MARCOS,2026-02-21
7896658015106,FISIOTON 400MG 30CP,2027-09,ativo,MARCOS,2026-02-21
