EAN;DESCRICAO
7891317498764;"PANTOCAL 20MG 28CP"
7898073787323;"PAPEL PARA DEPIL IPHIGENY 20UN"
7896004700038;"PARACETAMOL 200MG 15ML GN EMS"
7891058005924;"PARACETAMOL 200MG 15ML GN MD"
7896658002687;"PARASIN 400MG 1CP MASTIG"
7896226102818;"PASALIX 20CP"
7896226109688;"7896226102818"
7896372500476;"PASSAJA FLACONETE 4ML (24)"
7897917000017;"PASTA D AGUA 80GR BELFAR"
7896548115251;"PATANOL 1,11MG/ML 5ML SOL OFT"
7896902205758;"PEDRA HUME 20GR FARMAX"
7896026120555;"PENETRO INALANTE 45ML"
7891317007638;"PENVE ORAL 60ML (AM)"
7894916500364;"PENVIR 125MG 10CP"
7896714292137;"PEPSAMAR 10CP MASTIG (20)"
8715200813061;"BALSAMO POS BARBA NIVEA SENSITIVE 100ML"
7896004817576;"BALSAMO BENGUE GEL 20GR"
7896004817569;"BALSAMO BENGUE POM 20GR"
7897851260010;"PIDOMAG 12FLAC 10ML"
7896006238751;"PILEM 0,75MG 2CP"
